num_features,model,runtime
1.0,SVC_linear,0.028298377990722656
2.0,SVC_linear,0.017681360244750977
3.0,SVC_linear,0.016118764877319336
4.0,SVC_linear,0.013434648513793945
5.0,SVC_linear,0.013154268264770508
6.0,SVC_linear,0.013222217559814453
7.0,SVC_linear,0.010932683944702148
1.0,SVC_rbf,0.044037818908691406
2.0,SVC_rbf,0.024954795837402344
3.0,SVC_rbf,0.022138595581054688
4.0,SVC_rbf,0.020398378372192383
5.0,SVC_rbf,0.020109891891479492
6.0,SVC_rbf,0.019120216369628906
7.0,SVC_rbf,0.019072294235229492
