size,model,runtime
157.8,SVC_linear,0.003871917724609375
315.6,SVC_linear,0.003943920135498047
473.4000000000001,SVC_linear,0.004670619964599609
631.2,SVC_linear,0.007922649383544922
789.0,SVC_linear,0.01007699966430664
946.8,SVC_linear,0.012251853942871094
1104.6000000000001,SVC_linear,0.012860298156738281
1262.4,SVC_linear,0.016449451446533203
1420.2,SVC_linear,0.01580953598022461
1578.0,SVC_linear,0.02359485626220703
157.8,SVC_rbf,0.0036687850952148438
315.6,SVC_rbf,0.003810882568359375
473.4000000000001,SVC_rbf,0.00556635856628418
631.2,SVC_rbf,0.00846719741821289
789.0,SVC_rbf,0.009884119033813477
946.8,SVC_rbf,0.013086318969726562
1104.6000000000001,SVC_rbf,0.013914346694946289
1262.4,SVC_rbf,0.016602516174316406
1420.2,SVC_rbf,0.021651506423950195
1578.0,SVC_rbf,0.02521228790283203
